rank,name,id,bubble,reviewCount,priceRange,claimed,travelers,photos,thefork,justeat,cuisines,diets,meals,features,neigh,excellent,verygood,average,poor,terrible,revEnglish,revSpanish
220,La Cabaña Argentina,d796535,4.5,2459,$$ - $$$,True,True,1353,False,False,"Barbecue, South American, Steakhouse, Argentinean",Gluten Free Options,"Lunch, Dinner","Seating, Validated Parking, Highchairs Available, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Credit Cards, Table Service",Huertas,570,171,38,14,10,803,890
221,Los Porfiados,d5430372,4.5,503,$$ - $$$,True,False,216,False,False,"Mediterranean, European, Spanish, Healthy, Argentinean","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Brunch, Late Night",,Embajadores,53,11,1,2,1,68,400
222,La Musa Malasaña,d1089337,4.5,1231,$$ - $$$,True,True,747,False,False,"Mediterranean, European, Spanish","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Universidad,220,83,10,1,4,318,628
223,La Hummuseria,d8672759,4.5,638,$$ - $$$,True,False,482,False,False,"Mediterranean, Healthy, Middle Eastern, Israeli","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Centro,149,29,3,0,0,181,357
224,Havana Blues,d7622104,4.5,333,$,True,False,199,False,False,"Caribbean, Latin, Cuban, Central American","Vegetarian Friendly, Gluten Free Options","Lunch, Dinner",,Palos de Moguer,20,5,0,0,0,25,297
225,La Berenjena,d4795130,4.5,911,$$ - $$$,True,False,546,False,False,"Mediterranean, European, Spanish","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Late Night",,Embajadores,89,22,2,2,1,116,719
226,Ástor Puerta Cerrada,d24950849,5.0,73,$$ - $$$,True,False,94,False,False,"Latin, European, Healthy, International, Mediterranean, Spanish, Fusion",,"Lunch, Dinner",,0.1 miles from Plaza Mayor,9,0,0,0,0,9,53
227,Restaurante Jumbo,d13998641,5.0,88,$,True,True,41,False,True,"Spanish, Peruvian",Vegetarian Friendly,"Breakfast, Lunch, Dinner",,Barajas (District),1,1,0,0,0,2,84
228,Corral de la Moreria,d991547,4.5,1161,$$$$,True,True,573,False,False,"Mediterranean, Spanish","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Centro,261,89,31,29,19,429,448
229,Taberna la Concha,d3470895,4.5,1350,$$ - $$$,True,True,862,False,False,"Mediterranean, Spanish","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Late Night, Drinks",,Centro,393,95,21,2,9,520,426
230,Madam,d23937491,5.0,105,$$ - $$$,True,True,60,True,False,"Mediterranean, Spanish, Healthy",Vegan Options,"Lunch, Dinner, Brunch, Drinks",,,4,0,0,0,0,4,97
231,MAWEY Taco Bar - Olid,d13206017,4.5,307,$$ - $$$,True,False,577,False,False,"Mexican, Latin","Vegetarian Friendly, Gluten Free Options",,,Chamberi,8,1,1,0,0,10,296
232,El Camoati,d1954256,4.5,605,$$ - $$$,True,False,284,False,False,"Mediterranean, Argentinean","Vegetarian Friendly, Gluten Free Options",,,Centro,62,9,2,1,2,76,476
233,Taberna & Media,d10067383,4.5,357,$$ - $$$,True,True,470,False,False,"Mediterranean, Spanish","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Retiro,7,1,2,0,0,10,330
234,Nacho Bravo,d15273626,4.5,157,$,True,False,168,False,False,"Mexican, Latin, Fusion",Vegan Options,,,Arganzuela,15,0,0,0,0,15,138
235,La Sifonería,d8808803,4.5,474,$$ - $$$,True,False,322,False,False,"Mediterranean, European, Spanish, Fusion","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Arguelles,48,9,1,1,4,63,359
236,Dolores y Lola,d9593554,4.5,269,$$ - $$$,True,False,166,False,False,"Mediterranean, European, Spanish, Healthy","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Universidad,14,7,0,0,0,21,216
237,Araldo Arte del Gusto- Madrazo,d14084856,4.5,212,$$ - $$$,True,True,199,False,False,"Italian, Pizza, Mediterranean, European, Healthy","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Paseo del Prado,14,3,0,1,0,18,156
238,Latasia,d10297246,4.5,483,$$ - $$$,True,False,601,False,False,"Spanish, Contemporary, Fusion, Peruvian, Latin, Asian","Vegetarian Friendly, Gluten Free Options",,,Castillejos,26,6,0,0,0,32,438
239,Casa Macareno,d10207125,4.5,426,$$ - $$$,True,True,262,False,False,"Mediterranean, Spanish, Dining bars","Vegetarian Friendly, Gluten Free Options",,,Universidad,39,12,0,1,1,53,317
240,Restaurante de Sichuan,d9721997,4.5,319,$$ - $$$,True,False,372,False,False,"Chinese, Asian","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Sol,52,25,2,1,1,81,184
241,Bahía Taberna,d803211,4.5,1479,$$ - $$$,True,True,968,False,True,"Mediterranean, European, Spanish, Healthy, International","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Campo de las Naciones - Feria de Madrid,137,12,5,3,0,157,1199
242,Lamiak,d5517417,4.5,313,$,True,True,194,False,False,"Bar, Mediterranean, Spanish, Dining bars","Vegetarian Friendly, Vegan Options, Gluten Free Options","Late Night, Lunch, Dinner, Brunch, Drinks",,Centro,61,15,3,0,1,80,146
243,Empanadas Malvón,d23446299,5.0,69,$$ - $$$,True,True,20,False,False,Argentinean,Vegetarian Friendly,"Lunch, Dinner",,,1,0,0,0,0,1,68
244,Taman,d17431228,5.0,195,$$ - $$$,True,False,152,False,False,"Mexican, Latin","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Centro,4,0,0,1,0,5,188
245,Derzu Bar,d9744429,4.5,358,$$ - $$$,True,True,321,False,True,"Asian, Fusion",Vegetarian Friendly,,,Campo de las Naciones - Feria de Madrid,11,3,1,0,0,15,340
246,La Encomienda,d10501304,4.5,579,$$ - $$$,True,False,455,False,True,"Contemporary, Mediterranean, Healthy","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Embajadores,79,10,9,4,0,102,448
247,Santceloni,d717403,4.5,611,$$$$,True,False,872,False,False,"Mediterranean, European, Spanish","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Chamberi,110,24,12,2,3,151,360
248,El Trébol 1983 Pizzas y Empanadas,d1014172,4.5,490,$$ - $$$,True,True,237,False,False,"Fast Food, Pizza, Argentinean","Vegetarian Friendly, Vegan Options",,,Huertas,42,16,1,5,4,68,382
249,Miyama,d1024837,4.5,844,$$$$,True,False,577,True,False,"Japanese, Healthy","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Late Night, Drinks",,Centro,53,34,3,3,0,93,690
250,Cilindro,d13477528,4.5,376,$$ - $$$,True,True,535,False,False,"Peruvian, Latin","Vegetarian Friendly, Gluten Free Options","Lunch, Dinner, Drinks",,Salamanca (District),9,5,2,0,0,16,352
251,Miyama,d3686487,4.5,838,$$$$,True,False,782,False,False,"Japanese, Sushi, Asian, Healthy","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Late Night",,Chamberi,46,25,4,1,1,77,713
252,La Taberna de Mister Pinkleton,d3847118,4.5,886,$$ - $$$,True,False,873,False,False,"Bar, Mediterranean, European, Spanish",Vegetarian Friendly,,,Centro,278,71,13,5,5,372,223
253,Piccola Napoli,d3803450,4.5,501,$,True,False,249,False,False,"Italian, Pizza, Mediterranean, European, Neapolitan, Campania, Sicilian, Southern-Italian","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner",,Cuatro Caminos,31,11,2,2,1,47,381
254,El mirador del Goloso,d2371166,4.5,438,$$ - $$$,True,False,240,False,False,"Mediterranean, European, Spanish","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Late Night",,El Goloso,6,4,1,0,0,11,419
255,El Club Allard by Martín Berasategui,d1019405,4.5,1842,$$$$,True,False,1968,True,False,"Mediterranean, European, Spanish, International, Contemporary, Fusion","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Arguelles,405,64,18,6,11,504,1092
256,Gaytán,d11434547,4.5,284,$$$$,False,False,573,False,False,"Mediterranean, European, Spanish",Gluten Free Options,"Lunch, Dinner",,Chamartin,42,5,1,0,2,50,190
257,Bambubox Madrid,d7995685,4.5,781,$$ - $$$,True,False,429,False,False,"Thai, Healthy","Vegan Options, Gluten Free Options",,,Justicia,131,46,15,9,5,206,461
258,Dantxari,d751616,4.5,750,$$ - $$$,True,True,334,False,False,"Mediterranean, European, Spanish","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Late Night",,Arguelles,119,43,13,1,1,177,455
259,Pizzeria Vesuvio -Hortaleza,d1625680,4.5,796,$,True,True,357,False,False,"Italian, Pizza, Fast Food, Mediterranean, European","Vegetarian Friendly, Vegan Options","Lunch, Dinner, Late Night",,Justicia,107,44,7,1,1,160,509
260,Restaurante Sal Negra,d8784811,4.5,600,$$ - $$$,True,False,453,False,False,"Mediterranean, European, Spanish","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Chamartin,21,11,1,0,0,33,547
261,Il Pizzaiolo,d1066464,4.5,931,$$ - $$$,True,True,348,False,True,"Italian, Pizza, Mediterranean, European, Neapolitan, Campania, Sicilian, Southern-Italian","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Centro,127,52,13,3,3,198,498
262,Amicis,d12880799,4.5,950,$$ - $$$,True,True,642,True,False,Spanish,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Late Night, Drinks","Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Gift Cards Available",Centro,344,46,18,5,6,419,277
263,Fogg Bar,d3536117,4.5,266,$$ - $$$,True,False,173,False,False,"Spanish, Brew Pub, Bar",,"Lunch, Dinner, Drinks",,Pacifico,36,2,0,0,1,39,212
264,Bocadillos Oink,d8007972,4.5,183,$,True,False,144,False,True,"Fast Food, European, Spanish",,"Breakfast, Lunch","Takeout, Accepts Credit Cards, Digital Payments",Centro,39,8,0,0,0,47,78
265,De Maria - Calle Hortaleza,d2368093,4.5,393,$$ - $$$,True,False,199,False,False,"Steakhouse, Latin, Barbecue, European, Argentinean","Vegetarian Friendly, Gluten Free Options",,,Centro,49,19,3,0,0,71,226
266,Naomi,d780909,4.5,763,$$ - $$$,False,False,434,False,False,"Japanese, Sushi, Asian, Healthy","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Cuatro Caminos,17,6,1,0,1,25,729
267,Marisquería Salamar,d990765,4.5,261,$$ - $$$,True,True,112,False,False,"Seafood, Mediterranean, European, Spanish","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Late Night",,Chamartin,15,11,0,0,1,27,221
268,La Rodaja,d7067710,4.5,292,$,True,False,186,True,False,Mexican,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Salamanca (District),6,1,1,1,1,10,267
269,La Manduca de Azagra,d953861,4.5,654,$$$$,False,False,178,False,False,"Mediterranean, European, Spanish, Healthy","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Centro,75,22,0,0,1,98,524
270,Restaurante Olmo,d23528476,5.0,87,$$$$,True,True,98,False,False,"Spanish, Healthy",,"Lunch, Dinner","Reservations, Seating, Serves Alcohol, Accepts Credit Cards, Table Service",Arguelles,13,1,0,1,0,15,69
271,Gastrotaberna cachito's,d6650706,4.5,519,$$ - $$$,True,False,236,False,False,"Mediterranean, European, Spanish, Contemporary","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Late Night",,,3,3,0,0,0,6,508
272,MU! El Placer de la Carne II,d13510945,4.5,820,$$ - $$$,True,True,333,False,False,"Steakhouse, Barbecue, Healthy, Argentinean",Gluten Free Options,,,Sol,122,17,2,2,3,146,468
273,El Lando,d794166,4.5,508,$$$$,False,False,203,False,False,"European, Spanish","Vegetarian Friendly, Gluten Free Options",,,Centro,111,23,4,1,2,141,325
274,Bacira,d6865459,4.5,1151,$$ - $$$,True,False,1264,False,False,"Japanese, Mediterranean, European, Asian, Fusion","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Chamberi,50,10,3,2,0,65,1059
275,Restaurante PAIPAI,d11912950,4.5,794,$$ - $$$,True,False,717,False,False,Fusion,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Chamartin,36,2,1,0,0,39,747
276,Vega,d7384845,4.5,899,$$ - $$$,True,True,646,False,False,"Healthy, Fusion","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Universidad,189,52,12,4,13,270,535
277,Restaurante Excalibur Madrid,d23520831,4.5,170,$$ - $$$,True,False,260,True,False,"Steakhouse, Grill, Eastern European, European, Healthy",,"Lunch, Dinner, Drinks",,Arguelles,33,0,0,1,2,36,99
278,DokiDoki,d7125336,4.5,908,$$ - $$$,True,False,737,False,False,"Japanese, Sushi, Asian","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Salamanca (District),100,21,3,2,1,127,695
279,Chuka Ramen Bar,d7284789,4.5,578,$$ - $$$,True,False,622,False,False,Japanese,Vegetarian Friendly,,,Huertas,42,22,6,2,1,73,481
280,Restaurante Alabaster,d6161596,4.5,1055,$$$$,True,True,936,False,False,"Mediterranean, European, Spanish","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Paseo del Prado,87,27,5,3,2,124,860
281,Art & Sushi,d12210231,4.5,292,$$ - $$$,True,True,462,True,False,"Sushi, Asian, International, Hawaiian, Japanese Fusion","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Universidad,14,4,2,1,1,22,255
282,Bayres Beef Argentina en tapas,d3674049,4.5,817,$$ - $$$,True,False,241,False,False,"Steakhouse, Barbecue, Argentinean",Gluten Free Options,,,Chamartin,223,52,16,7,4,302,265
283,Los Chuchis Bar,d3736683,4.5,340,$,True,False,142,False,False,"Mediterranean, European, British","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Embajadores,55,16,0,0,0,71,252
284,99 Sushi Bar - Padre Damian,d7161391,4.5,528,$$$$,True,False,621,False,False,"Japanese, Sushi, Asian","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Late Night",,Chamartin,22,6,2,0,1,31,484
285,Ogrelo,d990888,4.5,643,$$$$,True,True,1034,False,False,"Seafood, Mediterranean, Spanish","Vegetarian Friendly, Gluten Free Options","Lunch, Dinner, Late Night, Drinks",,Retiro,52,9,4,1,1,67,544
286,El Viejo Fogon,d2638637,4.5,430,$$ - $$$,True,False,352,False,False,"Mediterranean, Spanish, European, Contemporary","Vegetarian Friendly, Vegan Options","Lunch, Dinner",,,1,2,0,0,0,3,423
287,emma cocina,d5946751,4.5,656,$$ - $$$,True,False,312,False,False,"Mediterranean, Spanish, European, Fusion","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Centro,117,39,12,4,4,176,312
288,Casa Jaguar Madrid,d10382291,4.5,699,$$ - $$$,True,False,468,False,False,"Mexican, Brazilian, Peruvian, Latin, Fusion, Colombian, Healthy","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Austrias,140,20,5,3,1,169,387
289,izakaya Han,d5982128,4.5,469,$$ - $$$,True,False,445,True,False,"Japanese, Sushi, Asian, Korean, Healthy","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Centro,63,25,4,4,0,96,317
290,Vinoteca Garcia de la Navarra,d2490781,4.5,550,$$ - $$$,True,False,203,False,False,"Mediterranean, European, Spanish","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner",,Paseo del Prado,87,27,7,1,4,126,378
291,Namaste Nepal,d14790837,4.5,296,$,True,False,178,False,False,"Indian, Asian, Nepali","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,,18,1,1,1,0,21,270
292,Restaurante Gaudium Chamberí,d1590227,4.5,176,$$ - $$$,True,False,93,False,False,"Contemporary, Fusion, Mediterranean, Spanish, European","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Chamberi,7,2,0,1,0,10,162
293,Radhuni Indian,d12400533,4.5,464,$$ - $$$,True,False,257,True,True,"Indian, Asian","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner",,Valdefuentes,32,6,0,0,3,41,418
294,B13,d3836807,4.5,331,$,False,False,169,False,False,"Fast Food, Spanish","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Late Night",,Universidad,48,10,2,1,0,61,249
295,99 Sushi Bar,d2446455,4.5,581,$$$$,True,False,574,False,False,"Japanese, Sushi, Asian","Vegetarian Friendly, Gluten Free Options","Lunch, Dinner, Late Night",,Salamanca (District),39,12,1,4,3,59,494
296,Poké Friendly,d21493527,5.0,53,$$ - $$$,True,False,49,False,False,"Healthy, Hawaiian, Japanese, Fast Food, International, Asian","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Chamberi,7,0,0,0,0,7,45
297,Le Comptoir de la Crepe,d6701232,4.5,649,$$ - $$$,True,False,300,False,False,"French, European","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Huertas,92,35,3,1,2,133,386
298,Taberna del Chato,d3476797,4.5,1751,$$ - $$$,True,False,804,False,False,"Mediterranean, European, Spanish","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Sol,372,120,32,3,3,530,546
299,La Taberna del Colono,d7814037,4.5,374,$$ - $$$,True,True,251,True,False,"Mediterranean, European, Spanish","Vegetarian Friendly, Vegan Options, Gluten Free Options","Dinner, Lunch",,Universidad,18,8,3,1,2,32,288
300,El Pimiento Verde - La Taberna,d5988245,4.5,518,$$ - $$$,True,True,304,False,False,"Mediterranean, European, Spanish","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Late Night",,Centro,63,22,4,0,4,93,307
301,El Cogollo de la Descarga,d6787622,4.5,685,$$ - $$$,True,False,389,False,False,"Mediterranean, Spanish, Healthy",Gluten Free Options,"Lunch, Dinner, Late Night",,Sol,31,10,1,1,1,44,569
302,Restaurante Marina Ventura,d988061,4.5,1599,$$ - $$$,True,True,1068,False,False,"Seafood, Mediterranean, Spanish, Healthy","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Late Night","Takeout, Highchairs Available, Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Credit Cards, Table Service, Gift Cards Available",Huertas,236,79,28,10,14,367,528
303,La Terraza de Oscar,d4475255,4.5,1068,,True,False,421,False,False,"Bar, Mediterranean, European, Spanish","Vegetarian Friendly, Gluten Free Options",Drinks,,Centro,105,31,12,9,14,171,793
304,Sanissimo Opera,d10323086,4.5,394,$,True,True,423,False,False,"International, Mediterranean, European, Healthy, Soups","Vegan Options, Vegetarian Friendly, Gluten Free Options",,,Austrias,82,18,2,3,1,106,223
305,DSTAGE,d6884911,4.5,2215,$$$$,True,False,3447,False,False,"International, Mediterranean, European, Spanish, Contemporary","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Centro,209,36,11,8,6,270,1842
306,Inti de Oro,d3971140,4.0,603,$$ - $$$,True,False,430,False,False,"Peruvian, Latin","Vegetarian Friendly, Gluten Free Options",,,Huertas,37,25,2,1,0,65,491
307,Cafeteria Neila,d3182123,4.5,133,$,False,False,48,False,False,"Spanish, Bar",Vegetarian Friendly,"Breakfast, Lunch, Dinner",,Huertas,12,6,1,0,0,19,89
308,Alma Cheli,d7292235,4.5,615,$$ - $$$,True,True,210,False,False,Spanish,"Vegan Options, Gluten Free Options","Lunch, Dinner",,Chamberi,51,18,1,2,0,72,513
309,La monteria,d794471,4.5,710,$$ - $$$,True,True,319,False,False,"Mediterranean, Spanish","Vegetarian Friendly, Gluten Free Options",,,Retiro,54,24,0,1,0,79,590
310,La Sanabresa,d1507751,4.5,996,$,True,True,531,False,False,"Mediterranean, Spanish","Vegetarian Friendly, Gluten Free Options","Lunch, Dinner, Late Night",,Huertas,195,84,23,12,5,319,423
311,Restaurante Chulla Ville,d23109805,5.0,59,$$ - $$$,True,False,107,False,False,"Mediterranean, Contemporary, Fusion, Ecuadorean, Japanese Fusion",Vegan Options,,,San Blas - Canillejas,2,0,0,0,0,2,55
312,Saddle Madrid,d19378573,4.5,164,$$$$,False,True,468,False,False,"Mediterranean, Spanish",,"Lunch, Dinner","Reservations, Seating, Serves Alcohol, Full Bar, Table Service",Chamberi,16,3,1,0,0,20,134
313,Ferretería Restaurante,d15210699,4.5,404,$$ - $$$,True,True,570,False,False,"Bar, Mediterranean, Spanish",Gluten Free Options,"Lunch, Dinner, Drinks",,Huertas,47,7,1,1,1,57,297
314,AskuaBarra,d7315858,4.5,422,$$ - $$$,True,False,414,False,False,"Mediterranean, European, Spanish",Gluten Free Options,"Lunch, Dinner",,Centro,51,4,2,0,1,58,348
315,LOS GRIFOS Craft Beers,d11506345,4.5,229,$$ - $$$,True,False,162,False,False,"Brew Pub, Bar, Pub",,"Lunch, Dinner, Late Night, Drinks",,Universidad,25,8,2,0,0,35,155
316,Casa Jacinto,d2000855,4.5,271,$$ - $$$,True,False,174,False,False,"Mediterranean, European, Spanish","Vegetarian Friendly, Gluten Free Options",,,Centro,28,12,1,0,0,41,187
317,Paco Roncero Restaurante,d804175,4.5,688,$$$$,True,True,1107,False,False,"Mediterranean, European, Spanish, Contemporary","Vegetarian Friendly, Gluten Free Options",,,Sol,145,19,17,8,9,198,391
318,La MaMá Restaurante,d7933973,4.5,225,$$ - $$$,True,False,195,True,False,"Contemporary, Mediterranean, European, Spanish, Healthy","Vegetarian Friendly, Gluten Free Options",,,Chamberi,15,1,0,0,1,17,196
319,Soy Kitchen,d12264336,4.5,282,$$$$,True,False,608,False,False,Asian,Gluten Free Options,,,Chamberi,14,5,2,0,0,21,252
320,Estancia La Adriana,d4261978,4.5,486,$$ - $$$,True,True,345,False,False,"Steakhouse, European, Argentinean","Vegetarian Friendly, Gluten Free Options","Lunch, Dinner, Late Night",,Sol,83,29,10,4,2,128,198
321,Alcaravea,d2403049,4.5,523,$$ - $$$,True,False,241,False,False,"Mediterranean, European, Spanish, Healthy","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Late Night",,Chamberi,87,11,2,2,0,102,386
322,Kabuki Wellington,d1187547,4.5,974,$$$$,True,False,1094,False,False,"Japanese, Sushi, Asian, Healthy","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Late Night",,Salamanca (District),65,18,16,4,8,111,812
323,Flax & Kale Trafalgar,d25045644,5.0,53,$$ - $$$,True,False,45,True,False,"Mediterranean, Fusion, Healthy","Vegan Options, Gluten Free Options",,,0.3 miles from Malasana,3,0,0,0,0,3,48
324,Abaceria Tapas Lambuzo Conchas,d3870080,4.5,455,$$ - $$$,True,False,232,False,False,"Mediterranean, European, Spanish","Vegetarian Friendly, Gluten Free Options","Lunch, Dinner",,Sol,40,12,4,0,1,57,331
325,La Tasqueria de Javi Estevez,d7686369,4.5,1253,$$ - $$$,True,True,2235,True,False,"Mediterranean, European, Spanish",Gluten Free Options,"Lunch, Dinner",,Salamanca (District),75,20,3,4,4,106,1043
326,El Viejo Almacen De Buenos Aires,d3334499,4.5,749,$$ - $$$,True,True,510,False,True,"Steakhouse, Latin, Barbecue, Argentinean",Gluten Free Options,,,Pena Grande,11,5,0,1,1,18,718
327,Paperboy Perrito Bar,d9794460,4.5,281,$,True,False,274,False,False,"American, Fast Food, Street Food, Venezuelan",,"Lunch, Dinner, Drinks",,Chamberi,14,3,1,0,0,18,259
328,Empanadas Malvón,d18455067,5.0,86,$$ - $$$,True,False,60,False,False,"Latin, Argentinean, Spanish",Vegetarian Friendly,,,Salamanca (District),2,1,0,0,0,3,80
329,Burnout Burgers,d8123529,4.5,634,$$ - $$$,True,True,334,True,True,"American, International",Gluten Free Options,,,Chamberi,31,12,2,1,2,48,574
330,Taberna Laredo,d1049710,4.5,764,$$ - $$$,True,True,365,False,False,"Mediterranean, European, Spanish, Healthy","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Late Night",,Retiro,60,18,3,0,1,82,638
331,marmitón,d19983713,5.0,91,$$ - $$$,True,False,356,True,False,"Mediterranean, European, Spanish, Contemporary, Fusion",Gluten Free Options,,,Centro,12,0,0,0,0,12,74
332,La Castela,d777072,4.5,1204,$$ - $$$,True,True,572,False,False,"Mediterranean, Spanish","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Retiro,125,34,10,1,4,174,975
333,Los Espetinhos,d12099376,4.5,214,$$ - $$$,True,False,155,True,False,"Steakhouse, Brazilian, Barbecue",Gluten Free Options,"Lunch, Dinner",,Universidad,13,4,1,0,1,19,169
334,Atico Restaurant,d7779187,4.5,1123,$$$$,True,False,1012,False,False,"Mediterranean, Spanish, Contemporary, Healthy, European","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Justicia,62,18,14,7,4,105,955
335,Origem Açai Madrid,d25375598,5.0,61,,True,False,50,False,False,"Brazilian, Spanish",,"Breakfast, Lunch, Dinner, Brunch, Late Night, Drinks","Delivery, Takeout, Street Parking, Accepts Mastercard, Accepts Visa, Cash Only, Accepts Discover, Accepts Credit Cards, Seating, Serves Alcohol, Table Service",0.3 miles from Gran Via,6,0,0,0,0,6,38
336,Arahy,d8720375,4.5,524,$$$$,True,False,506,False,False,"Mediterranean, European, Spanish, Healthy","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner",,Barrio de Salamanca,38,12,0,1,0,51,445
337,Trattoria Malatesta,d1963635,4.5,2141,$$ - $$$,True,False,804,True,False,"Italian, Pizza, Mediterranean, European, Neapolitan, Campania, Romana, Lazio, Sicilian, Central-Italian, Southern-Italian","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Late Night","Takeout, Reservations, Outdoor Seating, Seating, Highchairs Available, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service",Sol,312,112,27,12,11,474,1003
338,Yokaloka,d6704298,4.5,528,$$ - $$$,True,False,534,False,False,"Asian, Japanese, Sushi","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Embajadores,42,11,0,1,0,54,431
339,Fiaschetteria La Saletta,d6736921,4.5,298,$,True,False,176,False,False,"Italian, Pizza, Mediterranean, European, Romana, Lazio, Central-Italian","Vegetarian Friendly, Vegan Options",,,Embajadores,29,5,1,0,1,36,201
340,Sr. Ito Lab,d13504426,4.5,232,$$ - $$$,True,False,266,False,False,"Japanese, Sushi, Asian, Fusion","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Chamberi,4,0,0,0,1,5,225
341,Alconada,d991746,4.5,232,$$ - $$$,True,False,182,True,False,"Mediterranean, Spanish","Vegetarian Friendly, Gluten Free Options",,,Chopera,5,0,1,0,0,6,221
342,Casa Toni,d1907082,4.5,823,$,False,True,560,False,False,"Bar, Mediterranean, Spanish, Grill, Street Food",,"Lunch, Dinner, Late Night","Seating, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service",Sol,256,83,14,5,6,364,254
343,El Alambique Taberna,d2667298,4.5,365,$,True,False,166,False,False,"Mediterranean, Spanish","Vegetarian Friendly, Vegan Options","Lunch, Dinner, Late Night",,Huertas,50,14,4,0,0,68,174
344,Vinoteca Vides,d5864370,4.5,368,$$ - $$$,True,True,158,False,False,"Mediterranean, European, Spanish, Wine Bar",Gluten Free Options,"Late Night, Drinks",,Centro,77,16,1,0,2,96,229
345,Tandoori Station,d784409,4.5,2112,$$ - $$$,True,False,1188,False,False,"Indian, Asian, Healthy","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Salamanca (District),169,90,23,4,11,297,1770
