rank,name,id,bubble,reviewCount,priceRange,claimed,travelers,photos,thefork,justeat,cuisines,diets,meals,features,neigh,excellent,verygood,average,poor,terrible,revEnglish,revSpanish
144,Restaurante Étimo by Begoña Fraire,d13138415,4.5,887,$$$$,True,False,1305,False,False,"Spanish, Mediterranean, European, Healthy","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Salamanca (District),123,18,4,1,1,147,668
145,Maximo Sushi Bar,d23623277,5.0,273,$$ - $$$,True,True,260,True,False,"Sushi, Asian, Japanese",,"Lunch, Dinner, Late Night, Drinks",,Retiro,25,1,0,0,1,27,227
146,Restaurante Morgana,d12316948,4.5,980,$$ - $$$,True,False,817,True,False,"Mediterranean, European, Spanish, Contemporary, Fusion, Healthy","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Drinks","Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Free Wifi, Accepts Credit Cards, Table Service",Centro,150,13,1,1,2,167,651
147,Oliveto,d7125727,4.5,380,$$ - $$$,True,False,213,False,True,"Italian, Mediterranean, European, Neapolitan, Campania, Southern-Italian","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Embajadores,75,10,3,2,2,92,232
148,Adrede,d3897393,4.5,235,$$ - $$$,True,False,152,True,False,"Mediterranean, European, Spanish","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner","Reservations, Seating, Serves Alcohol, Accepts American Express, Accepts Mastercard, Accepts Visa, Cash Only, Free Wifi, Full Bar, Accepts Credit Cards, Table Service",Paseo del Prado,48,6,1,1,0,56,158
149,Bakan Madrid,d23758787,4.5,263,$$$$,True,True,260,False,False,"Mexican, Latin",,"Lunch, Dinner, Late Night, Drinks","Reservations, Outdoor Seating, Seating, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service, Live Music",,12,2,1,3,0,18,239
150,Restaurante Campanilla,d4062487,4.5,352,$,True,False,136,False,False,,"Vegetarian Friendly, Gluten Free Options","Breakfast, Lunch, Dinner, Brunch, Drinks",,Barajas (District),99,17,1,1,1,119,182
151,El Rincon del Cabo,d12208439,4.5,394,$$ - $$$,True,False,304,False,False,"Bar, Mediterranean, European, Spanish, Gastropub",Vegetarian Friendly,"Lunch, Dinner, Late Night, Drinks","Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts Mastercard, Accepts Visa, Accepts Credit Cards, Table Service, Free Wifi",Embajadores,57,10,2,3,0,72,226
152,Mesón Molinero,d990935,4.5,376,$$ - $$$,True,False,279,False,False,"Steakhouse, Mediterranean, European, Spanish",Gluten Free Options,"Lunch, Dinner",,Latina,6,1,2,0,1,10,344
153,Dans Le Noir ?,d12631693,4.5,464,$$$$,True,True,68,True,False,"Spanish, Contemporary, Mediterranean, European","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Austrias,19,0,0,0,1,20,383
154,Waraku,d23715075,5.0,79,$$ - $$$,True,True,128,False,False,"Japanese, Sushi, Asian","Vegan Options, Gluten Free Options",,,0.6 miles from Templo de Debod,4,0,0,0,0,4,74
155,Cedrón Wine Bar,d17766458,5.0,193,$$ - $$$,True,True,91,False,True,"Latin, Healthy, Wine Bar",Vegan Options,,,Centro,42,3,2,0,0,47,100
156,El miniBAR,d3688138,4.5,2566,$,True,True,1672,False,False,"Bar, Mediterranean, European, Spanish","Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Dinner, Late Night, Drinks","Private Dining, Television, Serves Alcohol, Full Bar, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Seating, Wine and Beer, Accepts Credit Cards, Table Service",Austrias,638,118,33,11,16,816,951
157,Mad Mad Vegan,d16813298,4.5,131,$$ - $$$,True,True,131,False,False,Fast Food,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Late Night",,Centro,31,6,0,0,1,38,78
158,Purnima Indian Restaurant,d7311563,4.5,1193,$$ - $$$,True,True,818,False,True,Indian,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Salamanca (District),140,28,9,5,7,189,962
159,Yakiniku Rikyu,d13442478,4.5,267,$$ - $$$,True,True,422,True,False,"Japanese, Barbecue, Korean, Fusion","Vegetarian Friendly, Gluten Free Options",,,Chamberi,7,4,2,0,1,14,237
160,Lafayette,d16742186,4.5,205,$$ - $$$,True,True,189,False,False,"French, Mediterranean, European, Healthy","Vegetarian Friendly, Vegan Options","Lunch, Dinner",,Chamartin,3,2,0,1,0,6,199
161,Bombardino Cafe,d10355629,5.0,353,$$ - $$$,True,False,138,False,False,"Italian, Mediterranean, European, Spanish, Fusion","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Embajadores,67,6,0,1,0,74,215
162,Toga,d11955452,4.5,944,$$ - $$$,True,True,655,False,False,"Spanish, Healthy","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Embajadores,204,17,3,0,5,229,530
163,The Irish Temple (Moratalaz),d6886058,4.5,327,$$ - $$$,True,False,153,False,True,American,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Drinks",,Marroquina,2,0,0,0,1,3,322
164,Ramon Freixa Madrid,d1810038,4.5,1102,$$$$,True,True,1788,False,False,"Mediterranean, European, Spanish","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Salamanca (District),242,40,22,9,7,320,663
165,Valdivieso Cocina Con Alma,d7355625,4.5,427,$$ - $$$,True,False,348,False,False,"Mediterranean, European, Spanish","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Drinks",,Palos de Moguer,38,2,1,0,1,42,367
166,Casa Carola,d991649,4.5,840,$$ - $$$,True,True,549,False,True,"Mediterranean, Spanish, Healthy, Soups",Gluten Free Options,,,Salamanca (District),8,9,2,3,0,22,799
167,Casa Benigna,d991647,4.5,959,$$$$,True,True,787,False,False,"Mediterranean, European, Spanish","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Late Night",,Chamartin,230,25,10,8,5,278,510
